Conversion ID,Conversion Name,Status,Type,Category
6968687672,(ccw.vn) View Testride,REMOVED,WEBPAGE,PAGE_VIEW
699847187,Add to cart,REMOVED,WEBPAGE,ADD_TO_CART
7546554846,Add to cart (1),ENABLED,WEBPAGE,ADD_TO_CART
645332344,Android installs (all other apps),REMOVED,ANDROID_INSTALLS_ALL_OTHER_APPS,DOWNLOAD
6957175385,CCW TEST,REMOVED,WEBPAGE,DEFAULT
6957399001,CCW Test,REMOVED,WEBPAGE,SUBMIT_LEAD_FORM
6951893649,CLEVELAND CYCLEWERKS VIỆT NAM (web) purchase,HIDDEN,GOOGLE_ANALYTICS_4_PURCHASE,PURCHASE
902769970,Calls from Smart Campaign Ads,ENABLED,SMART_CAMPAIGN_TRACKED_CALLS,PHONE_CALL_LEAD
7546557327,Click to call,REMOVED,CLICK_TO_CALL,PHONE_CALL_LEAD
7546268540,Click to call (1),REMOVED,CLICK_TO_CALL,PHONE_CALL_LEAD
7546271480,Click to call (2),REMOVED,CLICK_TO_CALL,PHONE_CALL_LEAD
7546289681,Click to call (3),REMOVED,CLICK_TO_CALL,PHONE_CALL_LEAD
629469249,Clicks to call,ENABLED,GOOGLE_HOSTED,CONTACT
6527831492,Contact hotline/zalo/fb | Mahr 817 CLT,REMOVED,WEBPAGE,CONTACT
7603074414,Form Finalize - Seminar,ENABLED,WEBPAGE,SUBMIT_LEAD_FORM
7602686786,Form Start - Seminar,ENABLED,WEBPAGE,SUBMIT_LEAD_FORM
7603086898,Form Submit - Seminar,ENABLED,WEBPAGE,SUBMIT_LEAD_FORM
839187741,Form [tecostore.vn],ENABLED,WEBPAGE,SUBMIT_LEAD_FORM
6527831489,Form request | Mahr 817 CLT,REMOVED,WEBPAGE,SUBSCRIBE_PAID
838306274,Hotline-Tecostore,ENABLED,WEBPAGE,CONTACT
6510776814,INGCO Việt Nam (web) Add Delivery Method,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,ADD_TO_CART
6510776811,INGCO Việt Nam (web) Add Shipping Details,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,ADD_TO_CART
6510776808,INGCO Việt Nam (web) add_payment_info,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,PURCHASE
6683130178,INGCO Việt Nam (web) view_search_results,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,PAGE_VIEW
973396453,Lead form - Submit,ENABLED,LEAD_FORM_SUBMIT,SUBMIT_LEAD_FORM
517682841,Local actions - Directions,REMOVED,GOOGLE_HOSTED,GET_DIRECTIONS
506632991,Local actions - Other engagements,REMOVED,GOOGLE_HOSTED,ENGAGEMENT
506629127,Local actions - Website visits,REMOVED,GOOGLE_HOSTED,PAGE_VIEW
6688296700,Lượt gửi biểu mẫu khách hàng tiềm năng (Sự kiện trong Google Analytics form_submit),REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,SUBMIT_LEAD_FORM
6688387574,Lượt gửi biểu mẫu khách hàng tiềm năng (Sự kiện trong Google Analytics generate_lead),REMOVED,UNKNOWN,SUBMIT_LEAD_FORM
6506809433,Lượt mua hàng,REMOVED,WEBPAGE,PURCHASE
6688387883,Lượt xem trang (Sự kiện trong Google Analytics view_cart),REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,PAGE_VIEW
7571946647,Lượt yêu cầu thông tin báo giá,REMOVED,WEBPAGE,REQUEST_QUOTE
686213219,Page view,REMOVED,WEBPAGE,PAGE_VIEW
7603062678,Page view - Seminar,ENABLED,WEBPAGE,PAGE_VIEW
700454292,Purchase,REMOVED,WEBPAGE,PURCHASE
7546247039,Purchase (1),ENABLED,WEBPAGE,PURCHASE
6455251622,Purchase#,REMOVED,WEBPAGE,PURCHASE
902825973,Smart campaign ad clicks to call,ENABLED,SMART_CAMPAIGN_AD_CLICKS_TO_CALL,CONTACT
902825982,Smart campaign map clicks to call,ENABLED,SMART_CAMPAIGN_MAP_CLICKS_TO_CALL,CONTACT
902825703,Smart campaign map directions,ENABLED,SMART_CAMPAIGN_MAP_DIRECTIONS,GET_DIRECTIONS
7546293266,Tecostore.vn - Facebook,ENABLED,WEBPAGE,OUTBOUND_CLICK
7546462711,Tecostore.vn - Instagram,ENABLED,WEBPAGE,OUTBOUND_CLICK
7546598532,Tecostore.vn - Linkedin,ENABLED,WEBPAGE,OUTBOUND_CLICK
7546598805,Tecostore.vn - Youtube,ENABLED,WEBPAGE,OUTBOUND_CLICK
7546445171,Tecostore.vn - Zalo,ENABLED,WEBPAGE,OUTBOUND_CLICK
491304879,Website traffic,REMOVED,WEBPAGE,PAGE_VIEW
6792211327,Xem 8 trang,REMOVED,WEBPAGE,PAGE_VIEW
6792211324,Xem trang trên 45s,REMOVED,WEBPAGE,PAGE_VIEW
1026215894,YouTube channel subscriptions,ENABLED,UNKNOWN,ENGAGEMENT
7101900221,YouTube follow-on views,ENABLED,UNKNOWN,YOUTUBE_FOLLOW_ON_VIEWS
7087216988,Zalo - OA ( Tecostore.vn ),REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,CONTACT
7087446943,Zalo OA - Tecostore,REMOVED,WEBPAGE,CONTACT
7444010083,[3d35] Google for WooCommerce purchase action,REMOVED,WEBPAGE,PURCHASE
6949983353,[CCW.vn] Dang ky lai thu,REMOVED,WEBPAGE,DEFAULT
6949172054,[ccw.vn] - click Zalo OA,REMOVED,WEBPAGE,DEFAULT
6949989257,[ccw.vn] Dang ky lai thu,REMOVED,WEBPAGE,DEFAULT
6950440777,[ccw.vn] Dang ky test ride,REMOVED,WEBPAGE,DEFAULT
6949191806,[ccw.vn] Đăng ký lái thử,REMOVED,WEBPAGE,DEFAULT
6453646724,[dealer ingco] Call hotline,REMOVED,WEBPAGE,CONTACT
6453646730,[dealer ingco] Contact Zalo OA,REMOVED,WEBPAGE,CONTACT
6453646727,[dealer ingco] Submit lead form,REMOVED,WEBPAGE,SUBMIT_LEAD_FORM
6724723663,[ingcovietnam.vn]-call-hotline,REMOVED,WEBPAGE,DEFAULT
6726559351,[ingcovietnam.vn]-chat-FB-Messenger,REMOVED,WEBPAGE,DEFAULT
6726559348,[ingcovietnam.vn]-chat-ZaloOA,REMOVED,WEBPAGE,DEFAULT
6726559105,[ingcovietnam.vn]-finalize-dealer-form,REMOVED,WEBPAGE,DEFAULT
6726274983,[shop.tecotec.vn]-facebook,REMOVED,WEBPAGE,DEFAULT
6782083917,[shop.tecotec.vn]-finalize-RFQ,REMOVED,WEBPAGE,DEFAULT
6781978990,[shop.tecotec.vn]-finalize-product-RFQ,REMOVED,WEBPAGE,DEFAULT
6782144522,[shop.tecotec.vn]-finalize-product-RFQ.    dewfde,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,PURCHASE
6726274755,[shop.tecotec.vn]-form,REMOVED,WEBPAGE,DEFAULT
6726274749,[shop.tecotec.vn]-hotline,REMOVED,WEBPAGE,DEFAULT
6726274752,[shop.tecotec.vn]-zalo,REMOVED,WEBPAGE,DEFAULT
6471283853,dealer.ingcostore.vn (web) call_hotline,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,PHONE_CALL_LEAD
6471283850,dealer.ingcostore.vn (web) click_zaloOA,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,CONTACT
6471283847,dealer.ingcostore.vn (web) generate_lead,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,PAGE_VIEW
6453637649,dealer.ingcostore.vn (web) purchase,HIDDEN,GOOGLE_ANALYTICS_4_PURCHASE,PURCHASE
6501803658,ingcovietnam.vn (web) Hotline clicked,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,CONTACT
6497972099,ingcovietnam.vn (web) add_to_cart,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,ADD_TO_CART
6497972102,ingcovietnam.vn (web) begin_checkout,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,BEGIN_CHECKOUT
6683123644,ingcovietnam.vn (web) chat_zaloOA,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,CONTACT
6497972105,ingcovietnam.vn (web) form_start,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,BEGIN_CHECKOUT
6497485820,ingcovietnam.vn (web) purchase,REMOVED,GOOGLE_ANALYTICS_4_PURCHASE,PURCHASE
6497744622,ingcovietnam.vn (web) select_content,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,PAGE_VIEW
6683143809,ingcovietnam.vn (web) submit_form_dealer,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,SUBMIT_LEAD_FORM
6497797381,ingcovietnam.vn (web) view_item,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,PAGE_VIEW
6497797384,ingcovietnam.vn (web) view_item_list,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,PAGE_VIEW
6542889536,mahr.tecostore.vn (web) CompleteRegistration,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,DEFAULT
6542591200,mahr.tecostore.vn (web) Contact,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,CONTACT
